MatchID,Year,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Winner
1,1930,1930-07-13,Uruguay,Peru,1,0,Uruguay
2,1930,1930-07-13,Argentina,Chile,3,1,Argentina
3,1930,1930-07-14,USA,Belgium,3,0,USA
4,1930,1930-07-14,Yugoslavia,Brazil,2,1,Yugoslavia
5,1930,1930-07-15,Argentina,Mexico,6,3,Argentina
6,1930,1930-07-15,Uruguay,Yugoslavia,4,2,Uruguay
7,1930,1930-07-16,USA,Argentina,0,3,Argentina
8,1930,1930-07-16,Brazil,Peru,4,0,Brazil
9,1934,1934-05-27,Italy,Czechoslovakia,2,1,Italy
10,1934,1934-05-27,Germany,Austria,3,2,Germany
11,1934,1934-05-28,Sweden,Argentina,2,3,Argentina
12,1934,1934-05-28,USA,Yugoslavia,1,6,Yugoslavia
13,1934,1934-05-29,Italy,Spain,1,0,Italy
14,1934,1934-05-29,Czechoslovakia,Sweden,3,2,Czechoslovakia
15,1934,1934-05-30,Germany,Austria,3,2,Germany
16,1934,1934-05-30,Argentina,Yugoslavia,2,1,Argentina
17,1938,1938-06-04,Italy,Hungary,4,2,Italy
18,1938,1938-06-04,Brazil,Czechoslovakia,1,1,Brazil
19,1938,1938-06-05,Sweden,Italy,1,2,Italy
20,1938,1938-06-05,Hungary,Sweden,5,1,Hungary
21,1938,1938-06-06,Brazil,Poland,6,5,Brazil
22,1938,1938-06-06,Italy,Brazil,2,1,Italy
23,1938,1938-06-07,Hungary,Italy,2,4,Italy
24,1938,1938-06-07,Sweden,Brazil,4,2,Sweden
25,1950,1950-06-24,Uruguay,Brazil,2,1,Uruguay
26,1950,1950-06-24,Sweden,Spain,3,1,Sweden
27,1950,1950-06-25,Uruguay,Sweden,3,2,Uruguay
28,1950,1950-06-25,Brazil,Spain,6,1,Brazil
29,1950,1950-06-26,Uruguay,Spain,2,1,Uruguay
30,1950,1950-06-26,Brazil,Sweden,5,2,Brazil
31,1954,1954-06-16,West Germany,Hungary,3,2,West Germany
32,1954,1954-06-16,Uruguay,Austria,4,2,Uruguay
33,1954,1954-06-17,Sweden,West Germany,2,3,West Germany
34,1954,1954-06-17,Hungary,Uruguay,8,3,Hungary
35,1954,1954-06-18,Austria,Sweden,1,2,Sweden
36,1954,1954-06-18,West Germany,Hungary,3,2,West Germany
37,1958,1958-06-08,Brazil,Sweden,5,2,Brazil
38,1958,1958-06-08,France,Brazil,3,1,France
